timestamp,temperature,moisture,CO2,TVOC
2025-02-11 20:38:53,19.71,14.83,781.72,122.91
2025-02-11 20:38:58,23.07,63.26,653.2,338.11
2025-02-11 20:39:03,34.23,61.19,457.19,105.36
2025-02-11 20:39:08,32.17,68.21,605.9,471.32
2025-02-11 20:39:13,17.45,12.9,826.89,340.17
2025-02-11 20:39:18,19.83,52.52,917.39,75.97
2025-02-11 20:39:23,26.22,49.81,696.74,419.64
2025-02-11 20:39:28,28.18,55.64,783.25,74.03
2025-02-11 20:39:33,18.83,12.61,533.08,221.46
2025-02-11 20:39:38,29.23,76.5,906.54,476.47
2025-02-11 20:39:43,33.94,57.76,607.95,102.1
2025-02-11 20:39:48,31.21,52.49,695.58,103.91
2025-02-11 20:39:53,17.5,44.62,571.17,477.27
2025-02-11 20:39:58,25.31,12.67,574.31,423.72
2025-02-11 20:40:03,29.4,79.58,651.71,83.4
2025-02-11 20:40:08,24.85,10.77,619.41,347.67
2025-02-11 20:40:13,20.78,72.36,577.66,227.4
2025-02-11 20:44:26,28.43,73.79,596.52,126.67
2025-02-11 20:44:31,22.88,35.01,462.1,51.51
2025-02-11 20:44:36,33.39,47.63,794.6,199.14
2025-02-11 20:44:41,34.79,54.1,572.67,272.56
2025-02-11 20:44:46,30.28,89.47,653.53,368.87
2025-02-11 20:44:51,22.61,34.4,623.46,380.11
2025-02-11 20:44:56,25.27,67.39,887.91,240.53
2025-02-11 20:45:01,25.2,38.46,750.93,235.69
2025-02-11 20:45:06,21.06,69.32,488.16,91.51
2025-02-11 20:45:11,28.14,54.17,996.32,238.78
2025-02-11 20:45:16,33.24,84.13,538.07,269.22
2025-02-11 20:45:21,27.7,47.38,487.41,368.97
2025-02-11 20:45:26,29.8,12.37,753.19,220.66
2025-02-11 20:45:31,16.12,67.86,485.8,116.55
2025-02-11 20:45:36,29.63,25.2,840.31,451.15
2025-02-11 20:45:41,30.78,69.45,574.95,53.08
2025-02-11 20:45:46,18.52,28.26,903.83,145.92
2025-02-11 20:45:51,33.19,60.79,544.58,218.31
2025-02-11 20:45:56,24.41,37.88,964.32,175.87
2025-02-11 20:46:01,25.64,30.64,466.87,270.77
2025-02-11 20:46:06,16.4,19.25,832.8,94.93
2025-02-11 20:46:11,32.36,68.81,508.7,321.22
2025-02-11 20:46:16,24.15,61.56,532.71,140.65
2025-02-11 20:46:21,21.75,17.9,537.44,432.03
2025-02-11 20:46:26,23.35,49.93,929.89,448.16
2025-02-11 20:46:31,33.55,48.08,822.39,192.57
2025-02-11 20:46:36,19.81,36.49,927.41,263.0
2025-02-11 20:46:41,17.31,58.22,724.22,104.15
2025-02-11 20:46:46,26.01,30.37,513.47,307.45
2025-02-11 20:46:51,22.07,19.1,447.27,245.38
2025-02-11 20:46:56,18.76,70.37,702.45,71.03
2025-02-11 20:53:46,30.93,20.97,998.2,237.45
2025-02-11 20:53:51,32.75,16.84,700.14,410.2
2025-02-11 20:53:56,28.24,58.87,998.36,85.33
2025-02-11 20:54:01,21.36,35.28,550.53,88.83
2025-02-11 20:54:06,33.27,29.48,964.67,348.6
2025-02-11 20:54:11,32.25,87.99,888.82,89.52
2025-02-11 20:54:16,32.32,72.39,608.92,360.56
2025-02-11 20:54:21,15.04,31.02,419.66,72.51
2025-02-11 20:54:26,31.36,36.68,925.12,269.73
2025-02-11 20:54:31,20.95,63.04,479.33,467.28
2025-02-11 20:54:36,32.9,22.83,965.23,380.75
2025-02-11 20:54:41,22.08,36.16,802.12,293.5
2025-02-11 20:54:46,26.11,27.06,721.94,67.87
2025-02-11 20:54:51,27.18,77.33,925.09,338.17
2025-02-11 20:54:56,23.04,79.7,545.89,329.45
2025-02-11 20:55:01,26.85,66.49,954.42,159.26
2025-02-11 20:55:06,23.92,65.2,869.27,403.9
2025-02-11 20:55:11,22.88,72.78,610.99,261.13
2025-02-11 20:55:16,24.22,88.96,747.81,493.23
2025-02-11 20:55:21,23.5,33.86,650.14,461.83
2025-02-11 20:55:26,33.05,30.07,721.93,185.54
2025-02-11 20:55:31,21.33,27.74,636.08,367.56
2025-02-11 20:55:36,24.72,15.76,941.09,291.49
2025-02-11 20:55:41,23.56,85.97,410.16,280.55
2025-02-11 20:55:46,16.69,45.72,820.73,213.05
2025-02-11 20:55:51,16.32,60.42,497.9,416.65
2025-02-11 20:55:56,27.16,74.14,981.73,71.6
2025-02-11 20:56:01,20.33,82.76,581.79,135.11
2025-02-11 20:56:06,34.38,44.02,665.04,127.61
2025-02-11 20:56:11,26.17,38.47,808.68,83.0
2025-02-11 20:56:16,17.11,80.18,812.12,399.52
2025-02-11 20:56:21,32.48,87.06,527.84,317.33
2025-02-11 20:56:26,34.08,11.4,701.77,416.64
2025-02-11 20:56:31,27.72,50.66,684.28,466.59
2025-02-11 20:56:36,20.68,62.66,592.23,208.37
2025-02-11 20:56:41,16.94,26.78,841.09,211.31
2025-02-11 20:56:46,34.15,22.74,803.26,187.51
2025-02-11 20:56:51,33.85,62.45,729.2,90.29
2025-02-11 20:56:56,32.02,44.36,745.3,370.84
2025-02-11 20:57:01,22.19,76.69,574.17,193.85
2025-02-11 20:57:06,23.34,83.08,757.82,474.98
2025-02-11 20:57:11,30.54,11.5,992.75,50.39
2025-02-11 20:57:16,33.03,28.3,428.94,239.88
2025-02-11 20:57:21,21.97,14.78,807.98,487.78
2025-02-11 20:57:26,33.47,41.54,832.2,343.99
2025-02-11 20:57:31,24.8,15.23,698.82,492.54
2025-02-11 20:57:36,20.04,10.9,588.5,338.89
2025-02-11 20:57:41,27.49,82.35,790.35,207.33
2025-02-11 20:57:46,30.59,75.04,849.23,197.34
2025-02-11 20:57:51,15.76,20.85,660.95,268.55
2025-02-11 20:57:56,32.12,58.41,739.69,342.83
2025-02-11 20:58:01,18.9,69.49,977.45,108.96
2025-02-11 20:58:06,22.73,82.82,937.85,267.4
2025-02-11 20:58:11,21.81,67.23,581.88,342.57
2025-02-11 20:58:16,23.89,50.5,801.34,111.05
2025-02-11 20:58:21,20.3,65.9,656.54,91.72
2025-02-11 20:58:26,25.05,42.22,540.1,122.15
2025-02-11 20:58:31,22.41,14.6,798.43,461.01
2025-02-11 20:58:36,34.73,84.46,844.96,99.13
2025-02-11 20:58:41,29.38,66.83,641.11,492.25
2025-02-11 20:58:46,20.0,53.32,846.63,308.12
2025-02-11 20:58:51,28.7,52.55,816.4,270.91
2025-02-11 20:58:56,22.87,77.43,516.98,400.06
2025-02-11 20:59:01,16.54,52.58,744.79,54.61
2025-02-11 20:59:06,31.63,41.37,558.23,68.73
2025-02-11 20:59:11,29.83,74.1,738.06,83.85
2025-02-11 20:59:16,31.21,80.9,426.02,181.58
2025-02-11 20:59:21,18.02,24.84,892.18,390.99
2025-02-11 20:59:26,29.79,43.05,621.17,267.9
2025-02-11 20:59:31,28.35,40.92,895.42,198.51
2025-02-11 20:59:36,17.07,67.07,907.3,281.59
2025-02-11 20:59:41,26.46,18.87,723.4,138.29
2025-02-11 20:59:46,22.71,50.68,901.8,130.74
2025-02-11 20:59:51,15.5,68.98,999.87,244.05
2025-02-11 20:59:56,24.85,41.46,611.5,163.27
2025-02-11 21:00:01,16.19,45.69,776.95,457.74
2025-02-11 21:00:06,15.32,43.26,890.08,434.68
2025-02-11 21:00:11,23.4,83.4,472.92,105.12
2025-02-11 21:00:16,24.11,48.3,406.51,110.74
2025-02-11 21:00:21,23.85,22.97,657.11,196.45
2025-02-11 21:00:26,18.41,22.81,990.71,252.44
2025-02-11 21:00:31,17.34,80.85,615.14,245.15
2025-02-11 21:00:36,22.5,74.68,944.77,390.85
2025-02-11 21:00:41,34.03,67.52,667.15,237.5
2025-02-11 21:00:46,30.51,56.43,531.49,265.16
2025-02-11 21:00:51,27.68,70.22,501.61,351.63
2025-02-11 21:00:56,22.37,12.17,957.54,178.86
2025-02-11 21:01:01,25.22,62.14,584.27,55.2
2025-02-11 21:01:06,31.28,28.46,640.7,200.08
2025-02-11 21:01:11,15.95,51.75,902.93,310.01
2025-02-11 21:01:16,21.45,45.71,738.1,57.17
2025-02-11 21:01:21,30.63,59.4,930.04,407.24
2025-02-11 21:01:26,25.92,35.54,624.06,106.94
2025-02-11 21:01:31,20.21,47.29,489.24,106.61
2025-02-11 21:01:36,33.44,61.45,801.21,441.53
2025-02-11 21:01:41,20.37,26.82,946.24,454.07
2025-02-11 21:01:46,25.62,22.01,673.68,50.26
2025-02-11 21:01:51,33.81,73.17,991.45,257.41
2025-02-11 21:01:56,27.28,67.98,811.37,134.9
2025-02-11 21:02:01,33.59,69.59,579.59,343.18
2025-02-11 21:02:06,27.3,83.75,811.3,223.22
2025-02-11 21:02:11,17.81,28.35,450.59,350.81
2025-02-11 21:02:16,17.75,79.0,654.88,222.96
2025-02-11 21:02:21,29.94,74.94,871.41,62.61
2025-02-11 21:02:26,22.98,54.11,887.6,493.94
2025-02-11 21:02:31,31.22,74.56,849.7,451.09
2025-02-11 21:02:36,21.84,80.74,667.18,306.86
2025-02-11 21:02:41,26.12,10.14,447.79,331.18
2025-02-11 21:02:46,34.77,46.85,563.26,408.95
2025-02-11 21:02:51,17.77,46.17,687.01,412.61
2025-02-11 21:02:56,15.41,54.27,947.37,81.4
2025-02-11 21:03:01,25.41,56.83,440.95,389.57
2025-02-11 21:03:06,31.41,48.98,619.64,177.01
2025-02-11 21:03:11,34.14,39.91,824.92,166.63
2025-02-11 21:03:16,16.24,40.33,575.8,114.56
2025-02-11 21:03:21,16.57,26.01,836.33,264.91
2025-02-11 21:03:26,34.13,38.32,726.65,319.2
2025-02-11 21:03:31,17.81,53.26,463.1,164.93
2025-02-11 21:03:36,17.44,63.57,792.27,325.86
2025-02-11 21:03:41,19.31,38.86,882.0,74.79
2025-02-11 21:03:46,22.28,10.19,630.39,89.3
2025-02-11 21:03:51,19.28,39.32,505.35,268.48
2025-02-11 21:03:56,17.72,52.07,799.01,77.02
2025-02-11 21:04:01,32.76,24.52,401.83,364.96
2025-02-11 21:04:06,28.06,60.68,597.92,376.53
2025-02-11 21:04:11,22.86,76.34,410.92,253.01
2025-02-11 21:04:16,26.63,40.67,815.8,295.27
2025-02-11 21:04:21,21.51,63.86,445.16,186.1
2025-02-11 21:04:26,31.52,21.38,694.33,206.9
2025-02-11 21:04:31,26.14,69.18,825.95,375.97
2025-02-11 21:04:36,33.38,73.84,445.66,233.5
2025-02-11 21:04:41,32.06,19.65,678.39,375.77
2025-02-11 21:04:46,27.51,62.29,705.5,265.26
2025-02-11 21:04:51,17.13,42.22,769.85,443.4
2025-02-11 21:04:56,26.45,21.31,678.59,331.23
2025-02-11 21:05:01,22.09,17.29,738.65,485.71
2025-02-11 21:05:06,20.48,61.12,645.07,408.26
2025-02-11 21:05:11,22.44,45.02,939.42,352.12
2025-02-11 21:05:16,27.71,34.54,965.93,238.88
2025-02-11 21:05:21,19.03,40.31,533.85,151.31
2025-02-11 21:05:26,23.92,74.09,996.87,365.16
2025-02-11 21:05:31,16.91,25.65,502.38,478.62
2025-02-11 21:05:36,17.29,68.46,985.22,412.81
2025-02-11 21:05:41,19.84,40.11,780.11,176.6
2025-02-11 21:05:46,33.88,54.36,632.75,443.43
2025-02-11 21:05:51,25.25,40.39,640.01,406.69
2025-02-11 21:05:56,19.86,32.86,942.74,162.36
2025-02-11 21:06:01,22.94,41.36,794.94,262.11
2025-02-11 21:06:06,29.87,61.34,641.58,139.69
2025-02-11 21:06:11,34.65,87.47,814.64,272.64
2025-02-11 21:06:16,16.93,23.69,900.66,236.69
2025-02-11 21:06:21,33.32,54.65,495.06,76.83
2025-02-11 21:06:26,21.04,77.73,975.97,287.33
2025-02-11 21:06:31,31.57,24.7,739.72,84.68
2025-02-11 21:06:36,30.22,29.03,689.96,276.26
2025-02-11 21:06:41,22.48,14.07,611.52,151.88
2025-02-11 21:06:46,27.85,26.47,543.26,403.99
2025-02-11 21:06:51,27.78,39.04,578.13,83.56
2025-02-11 21:06:56,17.83,76.83,933.07,169.05
2025-02-11 21:07:01,20.5,48.82,509.26,151.04
2025-02-11 21:07:06,23.2,79.56,990.89,452.17
2025-02-11 21:07:11,29.67,58.29,988.0,480.98
2025-02-11 21:07:16,20.96,33.08,571.32,498.86
2025-02-11 21:07:21,21.02,64.56,781.0,438.55
2025-02-11 21:07:26,17.18,50.81,422.38,57.32
2025-02-11 21:07:31,29.7,68.87,824.43,480.31
2025-02-11 21:07:36,32.5,57.35,614.27,142.05
2025-02-11 21:07:41,23.85,78.47,726.41,469.2
2025-02-11 21:07:46,32.07,41.99,860.96,262.55
2025-02-11 21:07:51,33.85,40.58,964.02,317.94
2025-02-11 21:07:56,28.56,88.87,920.27,132.01
2025-02-11 21:08:01,29.6,62.04,909.12,354.4
2025-02-11 21:08:06,16.33,40.0,438.63,403.88
2025-02-11 21:08:11,21.76,22.07,891.03,57.26
2025-02-11 21:08:16,25.04,57.64,697.96,483.5
2025-02-11 21:08:21,27.11,34.53,870.54,226.08
2025-02-11 21:08:26,22.62,45.54,582.55,445.62
2025-02-11 21:08:31,27.47,76.91,855.98,344.23
2025-02-11 21:08:36,20.86,71.76,599.16,407.15
2025-02-11 21:08:41,29.04,27.28,820.61,499.15
2025-02-11 21:08:46,31.78,16.14,710.45,480.97
2025-02-11 21:08:51,25.99,22.24,908.21,210.86
2025-02-11 21:08:56,16.29,85.28,480.92,471.06
2025-02-11 21:09:01,15.03,67.35,570.13,245.43
2025-02-11 21:09:06,24.29,12.08,877.55,191.14
2025-02-11 21:09:11,32.73,22.11,922.7,387.78
2025-02-11 21:09:16,27.95,51.41,549.56,432.9
2025-02-11 21:09:21,29.49,44.18,412.46,358.74
2025-02-11 21:09:26,29.59,61.13,539.5,368.27
2025-02-11 21:09:31,22.58,76.58,926.77,301.69
2025-02-11 21:09:36,33.8,76.38,591.5,101.46
2025-02-11 21:09:41,26.53,37.78,796.19,391.55
2025-02-11 21:09:46,23.6,79.9,920.55,59.46
2025-02-11 21:09:51,23.71,45.27,518.74,421.99
2025-02-11 21:09:56,28.72,31.13,553.41,108.17
2025-02-11 21:10:01,16.67,63.23,746.01,144.35
2025-02-11 21:10:06,33.45,39.32,851.91,397.2
2025-02-11 21:10:11,30.44,58.41,612.73,246.62
2025-02-11 21:10:16,31.67,89.9,506.04,56.6
2025-02-11 21:10:21,23.44,34.03,815.31,390.06
2025-02-11 21:10:26,34.69,83.34,587.28,219.01
2025-02-11 21:10:31,15.1,53.62,829.43,148.16
2025-02-11 21:10:36,22.8,38.2,781.93,84.57
